Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Middle East & North Africa,MEA,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,Voice and Accountability: Standard Error,VA.STD.ERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,Voice and Accountability: Number of Sources,VA.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.650562526,3.698083742,3.334021069,5.11316573,4.8733905,3.917944392,4.010757196,4.254446267,4.381569548,7.926804268,7.294557607,,
Middle East & North Africa,MEA,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,2.29538511,2.159171278,2.090128164,1.470853963,3.317840543,2.809745646,2.441799049,2.620106645,3.275077148,1.955284143,2.281141199,2.142562625,1.61111673,1.045512895,1.128694285,1.11447736,0.909894473,0.629821604,0.627463572,0.863238786,0.943903345,1.028714071,1.123394325,1.001751522,0.975019473,1.019237833,1.071239666,0.878631713,0.966664964,0.903711709,1.037861696,1.052023492,1.171844891,1.169068614,1.076030911,1.649154865,1.500740627,1.740116082,2.143946496,1.478987052,2.533917385,2.501973422,2.428055938,2.528316083,2.761696432,2.732960481,2.717650839,2.735802221,2.570204359,2.824273228,2.587977834,2.982444244,2.667437999,2.650205677,2.974680705,3.279137989,3.234873106,3.19823259,3.004570808,3.236985399,3.545204702,,,
Middle East & North Africa,MEA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,0.775848207,0.711403253,1.745601543,1.474467854,1.017161244,0.870031003,0.981865952,1.139223564,1.078408664,1.120560927,1.242010751,1.07978287,1.389671452,1.004888446,0.803155091,0.502357506,0.486467098,0.444375598,0.508674651,0.423401811,0.572608688,1.554444808,1.935511651,2.231557815,2.617342361,2.864554315,2.193577377,2.587912519,2.668458848,2.024767986,2.234037153,1.939510263,2.540393353,2.479639029,2.756976226,2.853556975,3.030736665,2.652460913,2.444831472,2.012505344,2.224413803,2.206970991,2.409222604,2.343991164,2.373026713,1.970990881,2.048301852,2.302840036,2.235219313,2.183031382,2.47839064,2.344874898,2.259939128,2.514565887,2.507214895,2.615994554,2.669772286,3.226735316,2.659653097,2.941303156,4.28323047,,,
Middle East & North Africa,MEA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,5345751383,5447956939,5764593760,7173427208,8213519042,8757613326,9523152980,10556230708,12164465191,13452054793,14774714930,19930083415,21440120403,31895147570,93891835405,86293553729,1.03822E+11,1.13781E+11,1.12586E+11,1.72636E+11,2.56112E+11,2.43898E+11,1.95204E+11,1.55612E+11,1.44763E+11,1.33174E+11,93381809641,1.11503E+11,1.12793E+11,1.40312E+11,1.74063E+11,1.58516E+11,1.6772E+11,1.60641E+11,1.68746E+11,1.88092E+11,2.23751E+11,2.29474E+11,1.79594E+11,2.26385E+11,3.23574E+11,2.90626E+11,3.03205E+11,3.65623E+11,4.82359E+11,6.54439E+11,7.97203E+11,9.28416E+11,1.24682E+12,8.60481E+11,1.07715E+12,1.43398E+12,1.56974E+12,1.53773E+12,1.41346E+12,9.99752E+11,9.24831E+11,1.06556E+12,1.32493E+12,1.22202E+12,9.19326E+11,1.33627E+12,1.81216E+12,1.57654E+12
Middle East & North Africa,MEA,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,1.227617853,1.213414922,,,,,,,,,,,,0.417653368,0.396637472,0.323544154,,,,,,0.451267929,0.314051043,0.338024938,0.385568051,0.363799729,0.303062609,0.240829577,0.184398948,0.165897528,0.14345365,0.180797577,0.219395141,0.182976671,0.177064483,0.19550333,0.191876668,0.222096656,0.208345515,0.212239093,0.208147232,0.209775557,0.23959654,0.227353724,,
Middle East & North Africa,MEA,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.93811164,26.02059793,26.03799694,27.20343437,26.43202137,27.96517576,29.40999189,30.28162546,29.14655252,31.31301232,33.98217017,,
